| PII Type | True Positives (TP) | False Positives (FP) | False Negatives (FN) | Precision | Recall | F1-Score |
| --- | --- | --- | --- | --- | --- | --- |
| name | 4 | 0 | 0 | 1.0000 | 1.0000 | 1.0000 |
| email | 2 | 0 | 0 | 1.0000 | 1.0000 | 1.0000 |
| phone | 2 | 0 | 0 | 1.0000 | 1.0000 | 1.0000 |
| company | 3 | 0 | 0 | 1.0000 | 1.0000 | 1.0000 |
| address | 2 | 0 | 0 | 1.0000 | 1.0000 | 1.0000 |
| ssn | 3 | 0 | 0 | 1.0000 | 1.0000 | 1.0000 |
| cc | 1 | 0 | 0 | 1.0000 | 1.0000 | 1.0000 |
| dob | 2 | 0 | 0 | 1.0000 | 1.0000 | 1.0000 |
| ip | 2 | 0 | 0 | 1.0000 | 1.0000 | 1.0000 |
| **Overall** | **21** | **0** | **0** | **1.0000** | **1.0000** | **1.0000** |
